2018-01-04 00:04:43,524 - [(1.30419921875)(184,8192,1551,2048,6202)]
2018-01-04 00:09:43,518 - [(1.70458984375)(906,8192,1490,2048,6209)]
2018-01-04 00:14:43,519 - [(1.5673828125)(845,8192,1374,2048,6205)]
2018-01-04 00:19:43,518 - [(1.48583984375)(689,8192,1406,2048,6210)]
2018-01-04 00:24:43,517 - [(1.26806640625)(396,8192,1494,2048,6231)]
2018-01-04 00:29:43,518 - [(1.18359375)(133,8192,1494,2048,6222)]
2018-01-04 00:34:43,516 - [(1.33203125)(176,8192,1558,2048,6227)]
2018-01-04 00:37:02,020 - [(1.9853515625)(554,8192,1558,2048,6097)]
2018-01-04 00:42:02,013 - [(1.3701171875)(123,8192,1254,2048,6185)]
2018-01-04 00:46:11,053 - [(1.224609375)(809,8192,1318,2048,6126)]
2018-01-04 00:51:11,045 - [(1.9716796875)(333,8192,826,2048,6199)]
2018-01-04 00:56:11,044 - [(2.2021484375)(487,8192,922,2048,6200)]
2018-01-04 01:01:11,049 - [(1.44873046875)(355,8192,986,2048,6197)]
2018-01-04 01:06:11,043 - [(0.97265625)(317,8192,1018,2048,6199)]
2018-01-04 01:11:11,046 - [(1.1591796875)(94,8192,1050,2048,6215)]
2018-01-04 01:13:26,852 - [(1.4814453125)(315,8192,1114,2048,6111)]
2018-01-04 01:15:00,719 - [(2.181640625)(728,8192,1114,2048,6151)]
2018-01-04 01:16:23,228 - [(2.27197265625)(717,8192,1146,2048,6107)]
2018-01-04 01:21:23,225 - [(1.1826171875)(291,8192,1178,2048,6204)]
2018-01-04 01:26:23,227 - [(1.15625)(102,8192,1178,2048,6198)]
2018-01-04 01:31:23,227 - [(0.88525390625)(201,8192,1242,2048,6206)]
2018-01-04 01:36:23,228 - [(1.38720703125)(37,8192,1242,2048,6199)]
2018-01-04 01:41:23,225 - [(1.0283203125)(136,8192,1242,2048,6215)]
2018-01-04 01:46:23,228 - [(1.427734375)(109,8192,1242,2048,6215)]
2018-01-04 01:51:23,227 - [(1.54150390625)(100,8192,1306,2048,6216)]
2018-01-04 01:56:23,224 - [(1.0625)(115,8192,1306,2048,6219)]
2018-01-04 02:01:23,220 - [(1.15576171875)(128,8192,1306,2048,6222)]
2018-01-04 02:06:23,220 - [(1.478515625)(25,8192,1306,2048,6237)]
2018-01-04 02:11:23,223 - [(1.037109375)(91,8192,1306,2048,6240)]
2018-01-04 02:16:23,223 - [(1.2890625)(80,8192,1338,2048,6238)]
2018-01-04 02:21:23,224 - [(1.3291015625)(56,8192,1338,2048,6238)]
2018-01-04 02:26:23,222 - [(1.17919921875)(190,8192,1338,2048,6256)]
2018-01-04 02:31:23,224 - [(0.91064453125)(187,8192,1338,2048,6257)]
2018-01-04 02:36:23,221 - [(0.8037109375)(118,8192,1338,2048,6258)]
2018-01-04 02:41:23,222 - [(1.38134765625)(136,8192,1370,2048,6260)]
